id,from_id,to_id,roles
0,1,0,['Neo']
1,2,0,['Trinity']
2,3,0,['Morpheus']
3,4,0,['Agent Smith']
7,8,0,['Emil']
8,1,9,['Neo']
9,2,9,['Trinity']
10,3,9,['Morpheus']
11,4,9,['Agent Smith']
15,1,10,['Neo']
16,2,10,['Trinity']
17,3,10,['Morpheus']
18,4,10,['Agent Smith']
22,1,11,['Kevin Lomax']
23,12,11,['Mary Ann Lomax']
24,13,11,['John Milton']
26,16,15,['Lt. Daniel Kaffee']
27,17,15,['Col. Nathan R. Jessup']
28,18,15,['Lt. Cdr. JoAnne Galloway']
29,19,15,['Capt. Jack Ross']
30,20,15,['Lt. Jonathan Kendrick']
31,21,15,['Cpl. Jeffrey Barnes']
32,22,15,['Cpl. Carl Hammaker']
33,23,15,['Lt. Sam Weinberg']
34,24,15,['Lt. Col. Matthew Andrew Markinson']
35,25,15,['Pfc. Louden Downey']
36,26,15,['Dr. Stone']
37,28,15,['Man in Bar']
40,16,29,['Maverick']
41,30,29,['Charlie']
42,31,29,['Iceman']
43,32,29,['Goose']
44,33,29,['Viper']
45,34,29,['Carole']
48,16,37,['Jerry Maguire']
49,22,37,['Rod Tidwell']
50,38,37,['Dorothy Boyd']
51,39,37,['Avery Bishop']
52,40,37,['Frank Cushman']
53,41,37,['Bob Sugar']
54,42,37,['Laurel Boyd']
55,43,37,['Marcee Tidwell']
56,44,37,['Ray Boyd']
60,49,46,['Gordie Lachance']
61,47,46,['Chris Chambers']
62,40,46,['Vern Tessio']
63,48,46,['Teddy Duchamp']
64,50,46,['Denny Lachance']
65,20,46,['Ace Merrill']
66,51,46,['Mr. Lachance']
68,17,52,['Melvin Udall']
69,53,52,['Carol Connelly']
70,54,52,['Simon Bishop']
71,22,52,['Frank Sachs']
73,60,56,['Chris Nielsen']
74,22,56,['Albert Lewis']
75,57,56,['Annie Collins-Nielsen']
76,58,56,['The Tracker']
77,59,56,['The Face']
79,63,62,['Ishmael Chambers']
80,64,62,['Kazuo Miyamoto']
81,58,62,['Nels Gudmundsson']
82,65,62,['Judge Fielding']
84,71,67,['Joe Fox']
85,34,67,['Kathleen Kelly']
86,54,67,['Frank Navasky']
87,68,67,['Patricia Eden']
88,69,67,['Kevin Jackson']
89,70,67,['George Pappas']
91,71,73,['Sam Baldwin']
92,34,73,['Annie Reed']
93,74,73,['Suzy']
94,75,73,['Walter']
95,76,73,['Greg']
96,77,73,['Becky']
98,71,78,['Joe Banks']
99,34,78,"['DeDe', 'Angelica Graynamore', 'Patricia Graynamore']"
100,80,78,['Baw']
102,82,81,['Harry Burns']
103,34,81,['Sally Albright']
104,83,81,['Marie']
105,84,81,['Jess']
110,71,85,['Mr. White']
111,86,85,['Faye Dolan']
112,12,85,['Tina']
114,1,87,['Shane Falco']
115,88,87,['Annabelle Farrell']
116,89,87,['Jimmy McGinty']
117,90,87,['Clifford Franklin']
119,51,92,['Admiral']
120,93,92,['Dieter Dengler']
121,94,92,['Squad Leader']
122,70,92,['Duane']
124,60,95,['Armand Goldman']
125,80,95,['Albert Goldman']
126,89,95,['Sen. Kevin Keeley']
128,98,97,['English Bob']
129,99,97,['Bill Munny']
130,89,97,['Little Bill Daggett']
132,1,100,['Johnny Mnemonic']
133,101,100,['Takahashi']
134,102,100,['Jane']
135,103,100,['J-Bone']
137,71,105,"['Zachry', 'Dr. Henry Goose', 'Isaac Sachs', 'Dermot Hoggins']"
138,4,105,"['Bill Smoke', 'Haskell Moore', 'Tadeusz Kesselring', 'Nurse Noakes', 'Boardman Mephi', 'Old Georgie']"
139,106,105,"['Luisa Rey', 'Jocasta Ayrs', 'Ovid', 'Meronym']"
140,107,105,"['Vyvyan Ayrs', 'Captain Molyneux', 'Timothy Cavendish']"
144,71,109,['Dr. Robert Langdon']
145,110,109,['Sir Leight Teabing']
146,111,109,['Sophie Neveu']
147,112,109,['Silas']
149,4,114,['V']
150,115,114,['Evey Hammond']
151,116,114,['Eric Finch']
152,117,114,['High Chancellor Adam Sutler']
153,118,114,['Dascomb']
160,120,119,['Speed Racer']
161,121,119,['Pops']
162,122,119,['Mom']
163,123,119,['Racer X']
164,124,119,['Trixie']
165,125,119,['Taejo Togokahn']
166,118,119,['Cass Jones']
172,125,126,['Raizo']
173,127,126,['Mika Coretti']
174,64,126,['Takeshi']
175,118,126,['Ryan Maslow']
180,71,128,['Paul Edgecomb']
181,129,128,['John Coffey']
182,130,128,"['Brutus ""Brutal"" Howell']"
183,42,128,['Jan Edgecomb']
184,65,128,['Warden Hal Moores']
185,131,128,"['""Wild Bill"" Wharton']"
186,132,128,['Burt Hammersmith']
187,133,128,['Melinda Moores']
189,136,135,['Richard Nixon']
190,137,135,['David Frost']
191,19,135,['Jack Brennan']
192,138,135,['Bob Zelnick']
193,131,135,"['James Reston, Jr.']"
195,17,139,['Hoffa']
196,140,139,"['Robert ""Bobby"" Ciaro']"
197,24,139,['Frank Fitzsimmons']
198,141,139,"['Peter ""Pete"" Connelly']"
200,71,142,['Jim Lovell']
201,19,142,['Jack Swigert']
202,143,142,['Gene Kranz']
203,144,142,['Fred Haise']
204,132,142,['Ken Mattingly']
206,144,145,['Bill Harding']
207,53,145,['Dr. Jo Harding']
208,94,145,['Eddie']
209,146,145,"['Dustin ""Dusty"" Davis']"
211,71,148,['Chuck Noland']
212,53,148,['Kelly Frears']
214,17,150,['Randle McMurphy']
215,140,150,['Martini']
217,17,152,['Harry Sanborn']
218,153,152,['Erica Barry']
219,1,152,['Julian Mercer']
223,60,155,['Andrew Marin']
224,138,155,['Rupert Burns']
226,71,157,['Rep. Charlie Wilson']
227,158,157,['Joanne Herring']
228,146,157,['Gust Avrakotos']
230,71,159,"['Hero Boy', 'Father', 'Conductor', 'Hobo', 'Scrooge', 'Santa Claus']"
232,71,160,['Jimmy Dugan']
233,162,160,['Dottie Hinson']
234,163,160,['Kit Keller']
235,77,160,['Doris Murphy']
236,161,160,"['""All the Way"" Mae Mordabito']"
237,144,160,['Bob Hinson']
250,170,169,['Ki Taek']
251,171,169,['Dong Ik']
252,172,169,['Yeon Kyo']
253,173,169,['Ki Woo']
254,174,169,['Ki Jung']
255,176,175,['Arthur Fleck']
256,177,175,['Murray Franklin']
257,178,175,['Sophie Dumond']
258,180,179,['Neo']
259,181,179,['Trinity']
260,182,179,['Morpheus']
261,183,179,['Agent Smith']
265,187,179,['Emil']
266,180,188,['Neo']
267,181,188,['Trinity']
268,182,188,['Morpheus']
269,183,188,['Agent Smith']
273,180,189,['Neo']
274,181,189,['Trinity']
275,182,189,['Morpheus']
276,183,189,['Agent Smith']
280,180,190,['Kevin Lomax']
281,191,190,['Mary Ann Lomax']
282,192,190,['John Milton']
284,195,194,['Lt. Daniel Kaffee']
285,196,194,['Col. Nathan R. Jessup']
286,197,194,['Lt. Cdr. JoAnne Galloway']
287,198,194,['Capt. Jack Ross']
288,199,194,['Lt. Jonathan Kendrick']
289,200,194,['Cpl. Jeffrey Barnes']
290,201,194,['Cpl. Carl Hammaker']
291,202,194,['Lt. Sam Weinberg']
292,203,194,['Lt. Col. Matthew Andrew Markinson']
293,204,194,['Pfc. Louden Downey']
294,205,194,['Dr. Stone']
295,207,194,['Man in Bar']
298,195,208,['Maverick']
299,209,208,['Charlie']
300,210,208,['Iceman']
301,211,208,['Goose']
302,212,208,['Viper']
303,213,208,['Carole']
306,195,216,['Jerry Maguire']
307,201,216,['Rod Tidwell']
308,217,216,['Dorothy Boyd']
309,218,216,['Avery Bishop']
310,219,216,['Frank Cushman']
311,220,216,['Bob Sugar']
312,221,216,['Laurel Boyd']
313,222,216,['Marcee Tidwell']
314,223,216,['Ray Boyd']
318,228,225,['Gordie Lachance']
319,226,225,['Chris Chambers']
320,219,225,['Vern Tessio']
321,227,225,['Teddy Duchamp']
322,229,225,['Denny Lachance']
323,199,225,['Ace Merrill']
324,230,225,['Mr. Lachance']
326,196,231,['Melvin Udall']
327,232,231,['Carol Connelly']
328,233,231,['Simon Bishop']
329,201,231,['Frank Sachs']
331,239,235,['Chris Nielsen']
332,201,235,['Albert Lewis']
333,236,235,['Annie Collins-Nielsen']
334,237,235,['The Tracker']
335,238,235,['The Face']
337,242,241,['Ishmael Chambers']
338,243,241,['Kazuo Miyamoto']
339,237,241,['Nels Gudmundsson']
340,244,241,['Judge Fielding']
342,250,246,['Joe Fox']
343,213,246,['Kathleen Kelly']
344,233,246,['Frank Navasky']
345,247,246,['Patricia Eden']
346,248,246,['Kevin Jackson']
347,249,246,['George Pappas']
