id,from_id,to_id
4,5,0
5,6,0
12,5,9
13,6,9
19,5,10
20,6,10
25,14,11
38,27,15
46,35,29
57,45,37
67,27,46
72,55,52
78,61,56
83,66,62
90,72,67
97,72,73
101,79,78
106,27,81
113,71,85
118,91,87
123,59,92
127,96,95
131,99,97
136,104,100
141,108,105
142,5,105
143,6,105
148,113,109
154,25,114
167,5,119
168,6,119
176,25,126
188,134,128
194,113,135
199,140,139
205,113,142
210,147,145
213,149,148
216,151,150
220,154,152
225,156,155
229,96,157
231,149,159
238,164,160
262,184,179
263,185,179
270,184,188
271,185,188
277,184,189
278,185,189
283,193,190
296,206,194
304,214,208
315,224,216
325,206,225
330,234,231
336,240,235
341,245,241
348,251,246
355,251,252
359,258,257
364,206,260
371,250,264
376,270,266
381,238,271
385,275,274
389,278,276
394,283,279
399,287,284
400,184,284
401,185,284
406,292,288
412,204,293
425,184,298
426,185,298
434,204,305
446,313,307
452,292,314
457,319,318
463,292,321
468,326,324
471,328,327
474,330,329
478,333,331
483,335,334
487,275,336
489,328,338
496,343,339
520,363,358
521,364,358
528,363,367
529,364,367
535,363,368
536,364,368
541,372,369
554,385,373
562,393,387
573,403,395
583,385,404
588,413,410
594,419,414
599,424,420
606,430,425
613,430,431
617,437,436
622,385,439
629,429,443
634,449,445
639,417,450
643,454,453
647,457,455
652,462,458
657,466,463
658,363,463
659,364,463
664,471,467
670,383,472
683,363,477
684,364,477
692,383,484
704,492,486
710,471,493
715,498,497
721,471,500
726,505,503
729,507,506
732,509,508
736,512,510
741,514,513
745,454,515
747,507,517
754,522,518
778,542,537
779,543,537
786,542,546
787,543,546
793,542,547
794,543,547
799,551,548
812,564,552
820,572,566
831,582,574
841,564,583
846,592,589
852,598,593
857,603,599
864,609,604
871,609,610
875,616,615
880,564,618
887,608,622
892,628,624
897,596,629
901,633,632
905,636,634
910,641,637
915,645,642
916,542,642
917,543,642
922,650,646
928,562,651
941,542,656
942,543,656
950,562,663
962,671,665
968,650,672
973,677,676
979,650,679
984,684,682
987,686,685
990,688,687
994,691,689
999,693,692
1003,633,694
1005,686,696
1012,701,697
1036,721,716
1037,722,716
1044,721,725
1045,722,725
1051,721,726
1052,722,726
1057,730,727
1070,743,731
1078,751,745
1089,761,753
1099,743,762
1104,771,768
1110,777,772
1115,782,778
1122,788,783
1129,788,789
1133,795,794
1138,743,797
1145,787,801
1150,807,803
1155,775,808
1159,812,811
1163,815,813
1168,820,816
1173,824,821
1174,721,821
1175,722,821
1180,829,825
1186,741,830
1199,721,835
1200,722,835
1208,741,842
1220,850,844
1226,829,851
1231,856,855
1237,829,858
1242,863,861
1245,865,864
1248,867,866
1252,870,868
1257,872,871
1261,812,873
1263,865,875
1270,880,876
1294,900,895
1295,901,895
1302,900,904
1303,901,904
1309,900,905
1310,901,905
1315,909,906
1328,922,910
1336,930,924
1347,940,932
1357,922,941
1362,950,947
1368,956,951
1373,961,957
1380,967,962
1387,967,968
1391,974,973
1396,922,976
1403,966,980
1408,986,982
1413,954,987
1417,991,990
1421,994,992
1426,999,995
1431,1003,1000
1432,900,1000
1433,901,1000
1438,1008,1004
1444,920,1009
1457,900,1014
1458,901,1014
1466,920,1021
1478,1029,1023
1484,1008,1030
1489,1035,1034
1495,1008,1037
1500,1042,1040
1503,1044,1043
1506,1046,1045
1510,1049,1047
1515,1051,1050
1519,991,1052
1521,1044,1054
1528,1059,1055
1552,1079,1074
1553,1080,1074
1560,1079,1083
1561,1080,1083
1567,1079,1084
1568,1080,1084
1573,1088,1085
1586,1101,1089
1594,1109,1103
1605,1119,1111
1615,1101,1120
1620,1129,1126
1626,1135,1130
1631,1140,1136
1638,1146,1141
1645,1146,1147
1649,1153,1152
1654,1101,1155
1661,1145,1159
1666,1165,1161
1671,1133,1166
1675,1170,1169
1679,1173,1171
1684,1178,1174
1689,1182,1179
1690,1079,1179
1691,1080,1179
1696,1187,1183
1702,1099,1188
1715,1079,1193
1716,1080,1193
1724,1099,1200
1736,1208,1202
1742,1187,1209
1747,1214,1213
1753,1187,1216
1758,1221,1219
1761,1223,1222
1764,1225,1224
1768,1228,1226
1773,1230,1229
1777,1170,1231
1779,1223,1233
1786,1238,1234
1810,1258,1253
1811,1259,1253
1818,1258,1262
1819,1259,1262
1825,1258,1263
1826,1259,1263
1831,1267,1264
1844,1280,1268
1852,1288,1282
1863,1298,1290
1873,1280,1299
1878,1308,1305
1884,1314,1309
1889,1319,1315
1896,1325,1320
1903,1325,1326
1907,1332,1331
1912,1280,1334
1919,1324,1338
1924,1344,1340
1929,1312,1345
1933,1349,1348
1937,1352,1350
1942,1357,1353
1947,1361,1358
1948,1258,1358
1949,1259,1358
1954,1366,1362
1960,1278,1367
1973,1258,1372
1974,1259,1372
1982,1278,1379
1994,1387,1381
2000,1366,1388
2005,1393,1392
2011,1366,1395
2016,1400,1398
2019,1402,1401
2022,1404,1403
2026,1407,1405
2031,1409,1408
2035,1349,1410
2037,1402,1412
2044,1417,1413
