id,from_id,to_id
39,28,15
47,36,29
59,45,37
109,72,81
158,5,114
159,6,114
169,5,119
170,6,119
222,154,152
297,207,194
305,215,208
317,224,216
367,251,260
416,184,293
417,185,293
427,184,298
428,185,298
480,333,331
555,386,373
563,394,387
575,403,395
625,430,439
674,363,472
675,364,472
685,363,477
686,364,477
738,512,510
813,565,552
821,573,566
833,582,574
883,609,618
932,542,651
933,543,651
943,542,656
944,543,656
996,691,689
1071,744,731
1079,752,745
1091,761,753
1141,788,797
1190,721,830
1191,722,830
1201,721,835
1202,722,835
1254,870,868
1329,923,910
1337,931,924
1349,940,932
1399,967,976
1448,900,1009
1449,901,1009
1459,900,1014
1460,901,1014
1512,1049,1047
1587,1102,1089
1595,1110,1103
1607,1119,1111
1657,1146,1155
1706,1079,1188
1707,1080,1188
1717,1079,1193
1718,1080,1193
1770,1228,1226
1845,1281,1268
1853,1289,1282
1865,1298,1290
1915,1325,1334
1964,1258,1367
1965,1259,1367
1975,1258,1372
1976,1259,1372
2028,1407,1405
